2024-01-19 09:49:31.343570 - idCapteur: dwm1001-45, x: 1.311, y: 8.989, z: 2.65, orientation: 270.0, color: 0000FF
2024-01-19 09:49:31.343570 - idCapteur: dwm1001-29, x: 7.382, y: 8.565, z: 2.653, orientation: 180.0, color: 00FF00
2024-01-19 09:49:31.344574 - idCapteur: dwm1001-55, x: 6.352, y: 6.959, z: 2.663, orientation: 90.0, color: FF0000
2024-01-19 09:49:31.345569 - idCapteur: dwm1001-54, x: 5.092, y: 6.587, z: 2.658, orientation: 180.0, color: 00FFFF
2024-01-19 09:49:31.346571 - idCapteur: dwm1001-25, x: 5.071, y: 5.29, z: 2.625, orientation: 180.0, color: FF0000
2024-01-19 09:49:31.347572 - idCapteur: dwm1001-53, x: 5.057, y: 2.714, z: 2.65, orientation: 180.0, color: 00FF00
2024-01-19 09:49:31.348567 - idCapteur: dwm1001-21, x: 4.358, y: 1.331, z: 2.623, orientation: 90.0, color: 0000FF
2024-01-19 09:49:31.349567 - idCapteur: dwm1001-19, x: 1.687, y: 1.327, z: 2.652, orientation: 90.0, color: FFFF00
2024-01-19 09:49:31.349567 - idCapteur: dwm1001-18, x: 0.773, y: 0.364, z: 2.631, orientation: 180.0, color: FF00FF
2024-01-19 09:49:31.350566 - idCapteur: dwm1001-17, x: 0.336, y: 0.89, z: 2.62, orientation: 0.0, color: 00FF00
2024-01-19 09:49:31.351565 - idCapteur: dwm1001-49, x: 0.347, y: 3.294, z: 2.65, orientation: 0.0, color: FFFF00
2024-01-19 09:49:31.351565 - idCapteur: dwm1001-30, x: 5.339, y: 7.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.352565 - idCapteur: dwm1001-42, x: 4.339, y: 7.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.353567 - idCapteur: dwm1001-43, x: 3.339, y: 7.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.354566 - idCapteur: dwm1001-26, x: 3.339, y: 6.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.355569 - idCapteur: dwm1001-41, x: 2.339, y: 7.565, z: 1.65, orientation: 270.0, color: 
2024-01-19 09:49:31.356584 - idCapteur: dwm1001-57, x: 1.407, y: 4.078, z: 2.65, orientation: None, color: FFFFFF
2024-01-19 09:49:31.357567 - idCapteur: 1, x: 1.407, y: 4.078, z: 2.65, orientation: None, color: FFFFFF
2024-01-19 09:49:31.358567 - idCapteur: 1, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.360566 - idCapteur: discovery, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.360566 - idCapteur: discovery, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.362567 - idCapteur: discovery, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.363569 - idCapteur: discovery, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.364569 - idCapteur: discovery, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.365566 - idCapteur: discovery, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.369566 - idCapteur: 1, x: -6.455, y: 12.080, z: 0.077 , orientation: 176.171, color: FF6600
2024-01-19 09:49:48.153862 - idCapteur: byserial, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:48.325450 - idCapteur: byserial, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:48.325865 - idCapteur: byserial, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:48.459863 - idCapteur: byserial, x: None, y: None, z: None, orientation: None, color: None
